district,schoolName,schoolAddress,medianResult,unit,lead,status,city,county,latitude,longitude,maxResult
Beaumont Unified,21st Century Learning Institute,939 Michigan Avenue Beaumont CA 92223,,,,not tested,Beaumont,Riverside County,33.934655,-116.968962,
Temecula Valley Unified,Abby Reinke Elementary,43799 Sunny Meadows Drive Temecula CA 92592-4337,,,False,tested,Temecula,Riverside County,33.491678,-117.08623200000001,
Riverside Unified,Abraham Lincoln Continuation,4341 Victoria Avenue Riverside CA 92507-5009,7.6,ppb,True,tested,Riverside,Riverside County,33.971175,-117.36603999999998,8.1
Desert Sands Unified,Abraham Lincoln Elementary,74-100 Rutledge Way Palm Desert CA 92260-2644,,,,not tested,Palm Desert,Riverside County,33.733309999999996,-116.373773,
Hemet Unified,Acacia Middle,1200 East Acacia Avenue Hemet CA 92543-4521,,,,not tested,Hemet,Riverside County,33.744067,-116.959753,
Riverside Unified,Adams Elementary,8362 Colorado Avenue Riverside CA 92504-2305,,,False,tested,Riverside,Riverside County,33.944722999999996,-117.43555900000001,
Jurupa Unified,Adult Alternative Education,4041 Pacific Avenue Jurupa Valley CA 92509-7251,,,,not tested,Riverside,Riverside County,34.001233,-117.42224499999999,
Palm Springs Unified,Agua Caliente Elementary,30-800 San Luis Rey Plaza Cathedral City CA 92234-6045,,,,not tested,Cathedral City,Riverside County,33.825088,-116.48960600000001,
Temecula Valley Unified,Alamos Elementary,38200 Pacific Park Drive Murrieta CA 92563-3242,,,False,tested,,Riverside County,33.564440999999995,-117.111116,
Riverside Unified,Alcott Elementary,2433 Central Avenue Riverside CA 92506-3408,5.55,ppb,True,tested,Riverside,Riverside County,33.95384,-117.36463799999999,5.8
Moreno Valley Unified,Alessandro,23311 Dracaea Avenue Moreno Valley CA 92553-3201,,,False,tested,Moreno Valley,Riverside County,33.928065000000004,-117.25603500000001,
Hemet Unified,Alessandro High,831 East Devonshire Avenue Hemet CA 92543-3052,,,,not tested,Hemet,Riverside County,33.750853,-116.96391299999999,
Alvord Unified,Allan Orrenmaa Elementary,3350 Fillmore Street Riverside CA 92503-5135,,,False,tested,Riverside,Riverside County,33.892855,-117.478252,
Murrieta Valley Unified,Alta Murrieta Elementary,39475 Whitewood Road Murrieta CA 92563-6512,11.0,ppb,True,tested,Murrieta,Riverside County,33.568703,-117.167169,11.0
Alvord Unified,Alvord Adult Education,3606 Pierce St. Riverside CA 92503-4925,,,,not tested,Riverside,Riverside County,33.891633,-117.488358,
Alvord Unified,Alvord Alternative Continuation High,10368 Campbell Avenue Riverside CA 92505-1308,,,False,tested,Riverside,Riverside County,33.935938,-117.481256,
Alvord Unified,Alvord Continuation High,3606 Pierce Street Riverside CA 92503-4925,,,,not tested,Riverside,Riverside County,33.891633,-117.488358,
Desert Sands Unified,Amelia Earhart Elementary School of International Studies,45-250 Dune Palms Road Indio CA 92201-0901,,,,not tested,Indio,Riverside County,33.720694,-116.2766,
Riverside Unified,Amelia Earhart Middle,20202 Aptos Street Riverside CA 92508-3256,,,False,tested,Riverside,Riverside County,33.889461,-117.31152900000001,
Desert Sands Unified,Amistad High (Continuation),83-501 Dillon Avenue Indio CA 92201-3325,,,,not tested,Indio,Riverside County,33.725527,-116.20960600000001,
